Key,Tranditional Chinese [zh-TC]
054_t,在你接下來的五個行動輪結束時，執行一次<nobr>“攻擊<sprite name=Attack>2，</nobr><nobr>射程範圍<sprite name=Range>5”</nobr>的行動。
055_t,召喚殺戮機器
057_t,所有<nobr>射程範圍<sprite name=Range>3以內</nobr>的召喚物夥伴都<nobr>可以執行</nobr>
058_b_1,本回合中所有與你相鄰的盟友在他們的所有攻擊中附加<nobr>+2攻擊力<sprite name=Attack></nobr>。
058_b_2,所有與你相鄰的盟友損失2點生命值。
058_t,損失2點生命值。
060_b,在你<nobr>射程範圍<sprite name=Range>3</nobr>以內的一名盟友可以從他的職業牌堆中選擇一張符合當前等級的卡牌加入手牌，此效果持續到劇本結束。
060_t,一名與你相鄰的盟友可以<nobr>回收<sprite name=Recover></nobr>至多兩張燒牌堆的卡牌，然後他們焚燒兩張牌。
062_t,此外，指定所有在<nobr>主要目標路徑</nobr>上的敵人為目標。
063_t,<nobr>回收<sprite name=Recover></nobr>所有你<nobr>燒牌堆的卡牌</nobr>。
066_b,<nobr>免疫</nobr>接下來受到的兩次傷害。
069_t_1,在你接下來的四次攻擊中，<nobr>附加 +*TActive* 攻擊力<sprite name=Attack>。</nobr>
069_t_1_alt,在你接下來的四次攻擊中，<nobr>附加+2攻擊力<sprite name=Attack>。</nobr>
069_t_2,則獲得+2攻擊力<sprite name=Attack>。
071_t,召喚神秘嘉賓
076_b_1,X是盟友最大生命值的一半<nobr>（向下取整）。</nobr>
076_b_2,則X為盟友的最大生命值。
079_b,在敵人接下來對你的五次攻擊中，各獲得<nobr>反擊<sprite name=Retaliate>*BRetaliate*。</nobr>
080_b,召喚燃燒幻象
080_t,所有與目標相鄰的敵人<nobr>損失2點生命值，<sprite name=XP1>。</nobr>
082_t,回收<sprite name=Recover>至多兩張你<nobr>燒牌堆的卡牌。</nobr>
084_t_1,則拾取<sprite name=Loot>3，<sprite name=XP1>
084_t_2,你不能通過此行動拾取超過四個金幣堆和寶藏。
085_b,在接下來三次以你為目標的攻擊中，免疫受到的傷害並獲得<nobr>反擊<sprite name=Retaliate>3，</nobr><nobr>射程<sprite name=Range>3。</nobr>
086_b_1,在<nobr>射程<sprite name=Range>4</nobr>內選擇一個格子。
086_b_2,指定所有處在選定格子<nobr>射程<sprite name=Range>4</nobr>以內的敵人為目標，並將它們拉近向該格子
087_t_1,目標為和你在相同房間的敵人
087_t_2,所有和你在相同房間的友軍損失2點生命值。
088_b,你接下來4次指定不與任何友軍相鄰的敵人的攻擊附加<nobr>+2攻擊力<sprite name=Attack>。</nobr>
088_t,+2攻擊<sprite name=Attack></nobr>且當目標與任何友軍相鄰時獲得<sprite name=XP1>。
090_t,你的下一次在隱形<sprite name=Invisible></nobr>時的攻擊，翻倍攻擊值並獲得<sprite name=XP2>。
091_t,當目標不與任何它的盟友相鄰時獲得<nobr>+2攻擊力<sprite name=Attack></nobr>並且獲得<sprite name=XP1>。
092_t,解除一個相鄰的陷阱。
097_b_1,強迫一名相鄰的敵人執行
097_b_2,由你操控行動，並停留在一個與你相鄰的格子。
097_t_1,每一個與目標相鄰的盟友使你獲得<nobr>+1攻擊力<sprite name=Attack>。</nobr>
097_t_2,則獲得<nobr>+2攻擊力<sprite name=Attack>，</nobr><sprite name=XP1>
098_b,本回合中，免疫下一次你即將受到的傷害。
098_t,附加+X攻擊力<sprite name=Attack>，其中X是目標護盾值的兩倍。
099_b,拾取<sprite name=Loot>每一個你通過此行動經過的格子。
100_t,當目標與<nobr>你的盟友</nobr>相鄰時，附加流血<sprite name=Wound>並獲得<sprite name=XP1>。
103_b,本回合，為你的所有以不與任何它的盟友相鄰的敵人為目標的攻擊附加+2攻擊力<sprite name=Attack>。
104_b,本回合，在你的所有攻擊中獲得優勢。
105_t_1,如果你的目標與任意一個<nobr>你的盟友</nobr>相鄰，為攻擊附加<nobr>+3攻擊力<sprite name=Attack></nobr>並獲得<sprite name=XP1>。
105_t_2,如果你的目標不與任何<nobr>它的盟友</nobr>相鄰，為你的攻擊附加<nobr>+3攻擊力<sprite name=Attack></nobr>並獲得<sprite name=XP1>。
106_b,如果你的敵人處於<nobr>繳械<sprite name=Disarm></nobr>，<nobr>禁足<sprite name=Immobilize></nobr>，或<nobr>擊暈<sprite name=Stun></nobr>狀態。在接下來的六次攻擊中，為你的攻擊<nobr>附加+2攻擊/攻擊力<sprite name=Attack>。</nobr>
107_t,如果一個與你相鄰的普通級別敵人既不與任何它的盟友相鄰，又與你的盟友相鄰，則將其消滅。
108_t,為你的所有指定<nobr>中毒<sprite name=Poison></nobr>狀態的敵人為目標的攻擊附加<nobr>+2攻擊力<sprite name=Attack></nobr>。
110_t,如果你的攻擊目標與任意你的盟友相鄰，則為你的攻擊附加<nobr>+4攻擊力<sprite name=Attack></nobr>並獲得<sprite name=XP2>。
111_b,如果你的目標既不與任何它的盟友相鄰，又與你的盟友相鄰，則你的下次攻擊附加雙倍攻擊力並獲得<sprite name=XP2>。
111_t,指定一個<nobr>射程範圍<sprite name=Range>3</nobr>以內的敵人來遭受<nobr>被解除陷阱</nobr>的效果。
113_b,消滅一個當前生命值小於或等於3的與你相鄰的敵人。
114_b,本回合，強迫一個相鄰的敵人來執行它的行動輪。此時它將敵人（玩家）視作盟友，將盟友視作敵人，並由你操控它的行動。
115_t,為你的所有攻擊附加<nobr>中毒<sprite name=Poison></nobr>和<nobr>流血<sprite name=Wound></nobr>。
116_b,在接下來六次受到近戰攻擊時，獲得<nobr>反擊<sprite name=Retaliate>*BRetaliate*。</nobr>
118_b,在相鄰的兩個空格子內分別建立兩個占一格的障礙物。
119_b,所有相鄰的單位損失*BDamage* 點生命值。
120_t,所有與目標相鄰的單位損失1點生命值。
121_t,在你接下來的四次遠程攻擊行動中，獲得附加目標<sprite name=Target>。
122_t,摧毀一個相鄰的障礙物。
123_b,所有盟友損失<nobr> *BShieldSubDamage* 點生命值</nobr>。
123_t_2,所有相鄰的盟友損失<nobr>*TDamage* 點生命值</nobr>。
124_b_1,所有相鄰的單位損失<nobr>*BDamage1* 點生命值</nobr>。
124_b_2,所有相鄰的單位損失<nobr>*BDamage2* 點生命值</nobr>。
124_b_3,<nobr> 2點生命值，<sprite name=XP1></nobr>
125_t,<nobr>混亂<sprite name=Muddle></nobr>目的地區域內的所有單位。
127_b,本回合，為你的所有遠程攻擊附加+1攻擊力<sprite name=Attack>。
127_t,你可以將目標強推到含有障礙物的格子中。此時，摧毀該障礙物，你的目標損失2點生命值，你獲得<sprite name=XP1>。
128_b,本回合，為你的所有近戰攻擊附加+2攻擊力<sprite name=Attack>。
129_b,當<nobr>氣<sprite name=Air></nobr>處於充能狀態時，你接下來六次遠程攻擊行動會消耗<nobr>氣<sprite name=ConsumeAir></nobr>並為你的攻擊附加<nobr>+2射程範圍<sprite name=Range></nobr>。
130_t,指定所有與被摧毀的障礙物相鄰的敵人為目標。
131_t,影響目的地區域中的所有盟友
132_b,摧毀你經過的所有障礙物，解除你經過的所有陷阱。
132_t_1,將一個相鄰的單格的障礙物移動到<nobr>射程範圍<sprite name=Range> 4</nobr>以內的空格子中。
132_t_2,指定所有與移動後的障礙物相鄰的敵人為目標
134_t_1,在<nobr>射程範圍<sprite name=Range> 4</nobr>以內，在三個空格子上建立三個單格的障礙物。
134_t_2,所有與創造出的障礙物相鄰的單位損失2點生命值。
136_t_1,消滅一個<nobr>射程範圍<sprite name=Range> 4以內</nobr>的普通級別敵人。
136_t_2,在敵人死亡的格子中建立一個單格的障礙物。
137_b,在你接下來的四次近戰攻擊時，盡可能地摧毀一個相鄰的障礙物來為你的攻擊附加<nobr>+3 攻擊力<sprite name=Attack></nobr>。
138_t,在一個相鄰的空格子中建立一個2點傷害的附加擊暈<sprite name=Stun>的陷阱
139_t,禁足<sprite name=Immobilize>目的地區域中所有的單位。
140_t_1,在<nobr>射程範圍<sprite name=Range> 3以內</nobr>的三角形空格子上建立一個占三個格子的三角形障礙物。
140_t_2,指定所有與該障礙物相鄰的敵人為目標
141_b_1,本回合，為你的所有遠程攻擊附加+1攻擊力<sprite name=Attack>。
141_b_1_alt,本回合，為你的所有遠程攻擊附加+2攻擊力<sprite name=Attack>。
141_b_2,則附加+2攻擊力<sprite name=Attack>，<sprite name=XP1>。
141_t,每當你的目標撞到一次牆壁或障礙物時，它損失2點生命值，你獲得<sprite name=XP1>。
142_b,這次移動行動必須停留在一個與障礙物相鄰的格子上。
142_t_1,摧毀所有<nobr>射程範圍<sprite name=Range> 2以內</nobr>的障礙物。
142_t_2,X是被摧毀的障礙物所占格子數目的兩倍。
143_b,在你的接下來五個行動輪開始時，執行一次<nobr>“治療<sprite name=Heal> 2，</nobr><nobr>射程範圍<sprite name=Range> 2”的行動。</nobr>
144_b,所有與你經過的格子相鄰的單位損失<nobr>2點生命值。</nobr>
144_t,所有與目標相鄰的單位損失與目標所受傷害相同的生命值。
145_t,你可以將目標強推到含有障礙物的格子中。此時，該障礙物被摧毀，目標損失2點生命值，你獲得<sprite name=XP1>。
146_b_1,強制一個<nobr>射程範圍<sprite name=Range> 5以內</nobr>的敵人執行
146_b_2,由你操控該行動並指定另一個你的敵人為目標。
146_t,目標的每個負面狀態將為你的攻擊附加+1攻擊力<sprite name=Attack>。
149_b,如果你停留在你執行移動行動時所處的格子上，執行
150_t,召喚瘟疫之源
152_b,強迫一個<nobr>射程範圍<sprite name=Range> 4以內</nobr>的敵人執行
154_t,目標的每個負面狀態將為你的攻擊附加<nobr>+2攻擊力<sprite name=Attack></nobr>並使你獲得<sprite name=XP1>。
157_b,<nobr>射程範圍<sprite name=Range>3以內</nobr>的一名盟友<nobr>可以執行</nobr>
157_t,一名相鄰的盟友可以執行
159_t,召喚巨鼠
160_b,本回合，強迫一個<nobr>射程範圍<sprite name=Range>3以內</nobr>的敵人執行它的行動輪。此時它將盟友視作敵人，將敵人（玩家）視作盟友。
163_t,每個相鄰的敵人使你獲得一份額外的金幣堆
164_t_1,消滅一個<nobr>射程範圍<sprite name=Range>4以內</nobr>的普通級別敵人。
164_t_2,指定所有與被消滅的敵人相鄰的敵人為目標。
165_b,你可以同時啟動兩種<nobr><color=#A7B3D2>增強</color><sprite name=Augment></nobr>。如果你打出第三種<nobr><color=#A7B3D2>增強</color><sprite name=Augment></nobr>，棄掉其中一個。
166_b,強迫一個<nobr>射程範圍<sprite name=Range>5以內</nobr>的敵人執行
170_b,本回合，你的所有遠距攻擊獲得<nobr><color=#A7B3D2>增強</color><sprite name=Augment></nobr>效果。
172_b,本回合，強迫一個<nobr>射程範圍<sprite name=Range>5以內</nobr>的敵人執行它的行動輪。此時他將盟友視作敵人而將敵人（玩家）視作盟友，並由你操控它的行動。
172_t,這次攻擊獲得你的<nobr><color=#A7B3D2>增強</color><sprite name=Augment></nobr>效果。
173_b,本回合，所有<nobr>射程範圍<sprite name=Range>2以內</nobr>的盟友附加<nobr>+X攻擊力</nobr>到他們的所有攻擊中，X是<nobr>射程範圍<sprite name=Range>2以內</nobr>所有盟友的數目。
173_t_1,召喚鼠王
173_t_2,X是<nobr>鼠王</nobr>當前生命值的一半（向上取整）。
175_t,在接下來的五次受到近戰攻擊時，獲得<nobr>反擊<sprite name=Retaliate>*TRetaliate*。</nobr>
177_t,一名相鄰的盟友可以<nobr>回收<sprite name=Recover></nobr>一張他燒牌堆的卡牌。
178_t_1,一名相鄰的盟友可以<nobr>回收<sprite name=Recover></nobr>兩張他棄牌堆的卡牌。
178_t_2,則至多三張棄牌堆的卡牌，<sprite name=XP1>。
179_b,本回合，你和所有相鄰的盟友不受任何傷害。
184_b,從你的所有移動行動中扣除-1移動力<sprite name=Move>。
185_t,治療一名<nobr>相鄰盟友</nobr>所受的所有傷害。
187_b,<line-height=110%>在接下來你的五個行動輪結束時，如果<size=150%><voffset=-3><sprite name=Light></voffset></size>不處於激發狀態，充能<size=150%><voffset=-3><sprite name=Light></voffset></size>。
190_t,一名相鄰的盟友可以立即執行一個額外的行動輪來打出手牌中的兩張卡牌。
192_b,所有<nobr>射程範圍<sprite name=Range>5以內</nobr>的盟友<nobr>可以執行</nobr>
194_b,本回合，所有指定你以及<nobr>射程範圍<sprite name=Range>4以內</nobr>的盟友的攻擊獲得劣勢。
196_t,從你的所有攻擊中扣除<nobr>-1攻擊力<sprite name=Attack></nobr>。
197_b,本回合，所有的盟友在他們的移動行動中附加<nobr>+2移動力<sprite name=Move>。</nobr>
197_t,本回合，所有友軍在他們的所有攻擊中附加<nobr>+1攻擊力<sprite name=Attack>。</nobr>
199_t,在你執行任何攻擊行動前，你可以<sprite name=ConsumeLight>來為你的附加<nobr>+2攻擊力<sprite name=Attack></nobr>，並獲得優勢與<sprite name=XP1>。
200_b,則至多兩張燒牌堆的卡牌，<sprite name=XP1>
202_t,則消滅一個敵人，<sprite name=XP1>
203_t,在你接下來的四次攻擊行動中，附加<nobr>+3攻擊力<sprite name=Attack></nobr>，<nobr>流血<sprite name=Wound></nobr>，並獲得優勢。
204_t,當任意友軍受到傷害時，你可以代為損失減少1點的生命值。
205_t,所有<nobr>射程範圍<sprite name=Range>2以內</nobr>的盟友<nobr>重置<sprite name=Refresh></nobr>一個他們的道具。
206_b,<nobr>重置<sprite name=Refresh></nobr>你所有的已消耗的<nobr>隨身物品<sprite name=InvSmallItem></nobr>。
207_b,本回合，你和你的所有<nobr>射程範圍<sprite name=Range>2以內</nobr>的盟友為你們的所有攻擊附加<nobr>+1攻擊力<sprite name=Attack></nobr>。
208_t,每當你執行攻擊行動時，如果你使用道具，就為你的攻擊附加<nobr>+1攻擊力<sprite name=Attack></nobr>。
215_t,<nobr>重置<sprite name=Refresh></nobr>你的一個已消耗的<nobr>隨身物品<sprite name=InvSmallItem></nobr>。
216_t,一名相鄰的盟友可以<nobr>重置<sprite name=Refresh></nobr>他所有的已使用的道具。
217_b,<nobr>回收<sprite name=Recover></nobr>至多兩張你棄牌堆的卡牌。
217_t,你或一名相鄰的盟友可以<nobr>重置<sprite name=Refresh></nobr>一個<nobr>單手道具<sprite name=InvOneHand></nobr>或<nobr>雙手道具<sprite name=InvTwoHands></nobr>。
219_b,<nobr>回收<sprite name=Recover></nobr>至多兩張你燒牌堆的卡牌。
219_t,在你的每一個行動輪結束時，你可以棄掉一張卡牌使一名相鄰的盟友<nobr>重置<sprite name=Refresh></nobr>一個他已消耗的<nobr>隨身物品<sprite name=InvSmallItem></nobr>。
221_t,一名相鄰的盟友可以<nobr>重置<sprite name=Refresh></nobr>他所有的道具。
223_t,在每回合結束時，<nobr>重置<sprite name=Refresh></nobr>你的一個已使用的道具。
224_t,你和所有<nobr>射程範圍<sprite name=Range>4以內</nobr>的敵人損失2點生命值。
225_b,你和所有目的地區域內的普通級別敵人損失7點生命值。
226_t,任意相鄰的盟友在執行遠距攻擊行動時，為該攻擊獲得<nobr>附加目標<sprite name=Target></nobr>。
228_b,任意一名盟友可以<nobr>回收<sprite name=Recover></nobr>他所有棄牌堆的卡牌。
228_t,每當你長休息後，<nobr>重置<sprite name=Refresh></nobr>一個你已消耗的道具。
229_b,本回合你的所有攻擊無視目標的護盾。
230_t,在你接下來的五個行動輪結束時，執行一次“<nobr>治療<sprite name=Heal> 2</nobr>，以所有相鄰的盟友為目標”的行動。
231_t,消滅一個相鄰的敵人。
232_b,你和所有相鄰的盟友可以<nobr>重置<sprite name=Refresh></nobr>所有已消耗的<nobr>隨身物品<sprite name=InvSmallItem></nobr>。
235_b,本回合，所有以你或召喚物夥伴為目標的攻擊獲得劣勢。
235_t,2只暗影幽狼
236_b,回收<sprite name=Recover>至多四張你<nobr>燒牌堆的卡牌。</nobr>
238_t,一名相鄰的召喚物夥伴執行
245_t,在你或者任意你的召喚物執行移動行動前，你可以<sprite name=ConsumeEarth>來附加<nobr>+2移動力<sprite name=Move></nobr>並獲得<sprite name=XP1>。
247_t,消滅所有相鄰的普通級別敵人如果它們的生命值小於或等於5點。
250_t,兩名<nobr>射程範圍<sprite name=Range>2以內</nobr>的召喚物夥伴可以執行
253_t,3個釘刺圓球
257_b,移除你攻擊修正牌堆中的所有<nobr>詛咒<sprite name=Curse></nobr>，然後將攻擊修正卡棄牌堆洗回到牌堆中。
257_t,召喚物夥伴免疫接下來它們將受到的三次傷害（所有召喚物共用次數）。
258_b,與任意一名召喚物夥伴交換位置。
258_t,一名<nobr>射程範圍<sprite name=Range>3以內</nobr>的召喚物夥伴執行
260_b,所有<nobr>射程範圍<sprite name=Range>3以內</nobr>的召喚物夥伴執行
261_t,當你處於<nobr>隱身<sprite name=Invisible></nobr>，在你接下來的四次攻擊行動之後，執行“<nobr>攻擊<sprite name=Attack> 2</nobr>，<nobr>射程範圍<sprite name=Range> 3</nobr>”
263_b,本回合，將你的所有<nobr>攻擊<sprite name=Attack></nobr>技能卡的效果翻倍（最後計算），<sprite name=XP1>。
263_t,本回合，將你的所有<nobr>移動<sprite name=Move></nobr>技能卡的效果翻倍（最後計算），<sprite name=XP1>。
266_t,則消滅一個普通級別目標，<sprite name=XP1>。
268_t,如果你處於<nobr>隱身<sprite name=Invisible></nobr>，為你的攻擊附加<nobr>+2攻擊力<sprite name=Attack></nobr>並獲得<sprite name=XP1>。
270_b,在你接下來的四次攻擊行動之前，執行“<nobr>移動<sprite name=Move> 2</nobr>”。
271_b,移動到任意一個未被佔用的格子。你不能穿過一扇上鎖的門。
274_t,如果你處於<nobr>隱身<sprite name=Invisible></nobr>，附加<nobr>擊暈<sprite name=Stun></nobr>並獲得<sprite name=XP1>。
277_t,<line-height=110%>在接下來你的三個行動輪結束時，如果<size=150%><voffset=-3><sprite name=Dark></voffset></size>不處於激發狀態，充能<size=150%><voffset=-3><sprite name=Dark></voffset></size>。
279_b,如果你處於<nobr>隱身<sprite name=Invisible></nobr>，在你接下來的四次移動行動之後，執行“<nobr>攻擊<sprite name=Attack> 2</nobr>，指定所有相鄰敵人為目標”。
283_t_1,在你的所有攻擊中獲得優勢。
283_t_2,你可以指定<nobr>隱身<sprite name=Invisible></nobr>敵人為目標。
286_t,如果你處於<nobr>隱身<sprite name=Invisible></nobr>，附加<nobr>中毒<sprite name=Poison></nobr>，<nobr>混亂<sprite name=Muddle></nobr>，<nobr>流血<sprite name=Wound></nobr>並獲得<sprite name=XP1>。
287_b,消滅一個相鄰的普通級別敵人，<sprite name=XP1>。
287_t,則消滅所有的普通級別敵人，<sprite name=XP2>。
288_t,當你處於<nobr>隱身<sprite name=Invisible></nobr>，為你接下來的四次攻擊附加<nobr>擊暈<sprite name=Stun></nobr>。
289_t,為目的地區域的所有單位施加<nobr>中毒<sprite name=Poison></nobr>。
290_b,從你的所有遠距攻擊中扣除<nobr>-1射程範圍<sprite name=Range></nobr>。
292_t,每當你執行攻擊行動前，你可以對<nobr>射程範圍<sprite name=Range>2以內</nobr>的一名盟友施加<nobr>中毒<sprite name=Poison></nobr>（或者使其損失3點生命值如果該盟友已經<nobr>中毒<sprite name=Poison></nobr>），來為你的整個攻擊附加<nobr>+1攻擊力<sprite name=Attack></nobr>。
298_t,當<nobr>氣<sprite name=Air></nobr>處於充能狀態時，你接下來的六次攻擊可以消耗<nobr>氣<sprite name=ConsumeAir></nobr>來為整個攻擊附加<nobr>+1攻擊力<sprite name=Attack></nobr>。
300_b,每次你的移動行動後，對所有相鄰單位施加<nobr>中毒<sprite name=Poison></nobr>。
301_t,移除一個敵人的<nobr>中毒<sprite name=Poison></nobr>並使其<nobr>損失3點生命值。</nobr>
304_t,對所有<nobr>與指定目標相鄰</nobr>的盟友施加<nobr>中毒<sprite name=Poison></nobr>。
305_t,消滅一個<nobr>射程範圍<sprite name=Range>3以內</nobr>的處於<nobr>中毒<sprite name=Poison></nobr>的普通級別敵人。
309_t,所有處於<nobr>中毒<sprite name=Poison></nobr>的敵人損失<nobr>1點生命值。</nobr>
310_b,所有處於<nobr>中毒<sprite name=Poison></nobr>的盟友可以<nobr>回收<sprite name=Recover></nobr>至多兩張他們棄牌堆的卡牌。
310_t,在你的每次移動行動前，你可以損失1點生命值使一個處於<nobr>中毒<sprite name=Poison></nobr>的敵人損失3點生命值。
314_t,如果一個敵人因<nobr>詛咒<sprite name=Curse></nobr>在攻擊中未造成傷害，使該敵人損失<nobr>3點生命值。</nobr>
316_b,本回合，你的下一次攻擊行動的攻擊力翻倍。
316_t,在你接下來的六次攻擊行動中，<nobr>詛咒<sprite name=Curse></nobr>一名<nobr>射程範圍<sprite name=Range>2以內</nobr>的盟友，為你的攻擊附加2次<nobr>附加目標<sprite name=Target></nobr>。
317_b,所有處於<nobr>中毒<sprite name=Poison></nobr>的敵人<nobr>損失2點生命值。</nobr>
318_b_1,所有處於<nobr>中毒<sprite name=Poison></nobr>的盟友<nobr>損失2點生命值。</nobr>
318_b_2,本回合，每有兩個友軍（向下取整）因此效果損失生命值，為你的所有攻擊附加<nobr>+1攻擊力<sprite name=Attack></nobr>並獲得<sprite name=XP1>。
320_b,如果你當前生命值小於你最大生命值的一半（向上取整），獲得<sprite name=XP1>並執行
321_t,你可以損失2點生命值來為你的攻擊附加<nobr>+2攻擊力<sprite name=Attack></nobr>並獲得<sprite name=XP1>。
322_b,在接下來的三次，如果你的生命值將因傷害降低到1點以下，<nobr>免疫該傷害。</nobr>
322_t,如果你當前的生命值小於你最大生命值的一半（向上取整），為你的攻擊附加<nobr>+2攻擊力<sprite name=Attack></nobr>並獲得<sprite name=XP1>。
324_b_1,為你的所有攻擊附加<nobr>+1攻擊力<sprite name=Attack></nobr>。
324_b_2,每當你行動輪開始時，損失1點生命值。
324_t,損失你當前生命值一半（向上取整）數值的生命值。
325_b,在接下來的四次你受到治療時，為該效果附加<nobr>+2治療<sprite name=Heal></nobr>。
326_t,你可以損失2點生命值來為你的攻擊附加<nobr>擊暈<sprite name=Stun></nobr>並獲得<sprite name=XP1>。
329_b,將你的最大生命值提升到26點，但在結算技能效果時，仍使用你的原始最大生命值數值。
330_t,將你的當前生命值減小到1。<br>損失的生命值不視作傷害。
331_b,你可以損失2點生命值來<nobr>擊暈<sprite name=Stun></nobr>一個相鄰的敵人。
331_t,你可以損失2點生命值來獲得<nobr>護盾<sprite name=Shield>1，<sprite name=XP1></nobr>。
332_b,所有指定你為目標的近戰攻擊附加<nobr>+1攻擊力<sprite name=Attack></nobr>。
332_t,你可以損失至多3點生命值。
333_b,如果你的當前生命值小於你最大生命值的一半<nobr>（向上取整）</nobr>，為你的移動行動附加<nobr>+2移動力<sprite name=Move></nobr>。
334_t,本回合，你的每次<nobr>反擊<sprite name=Retaliate></nobr>造成2點額外傷害。
335_t,如果一個相鄰的普通級別敵人的當前生命值小於你已損失生命值的一半（向上取整），消滅該敵人。
336_t,你可以損失至多4點生命值。
337_b,本回合，你的所有攻擊獲得優勢，所有指定你為目標的攻擊獲得劣勢。
337_b_1,本回合，你的所有攻擊獲得優勢。
337_b_2,本回合，所有指定你為目標的攻擊獲得劣勢。
338_b,如果你的當前生命值小於你最大生命值的一半<nobr>（向上取整）</nobr>，為你的所有攻擊附加<nobr>+1攻擊力<sprite name=Attack></nobr>。
338_t,如果你的當前生命值小於你最大生命值的一半<nobr>（向上取整）</nobr>，獲得<nobr>護盾<sprite name=Shield>1</nobr>，<sprite name=XP1>。
339_t,你立刻變得精疲力竭。
341_b,如果你下回合執行短休息，視為你執行一次<nobr>長休息</nobr>。
341_t,你可以損失2點生命值使此次攻擊無視目標的護盾並獲得<sprite name=XP1>。
343_b,你免疫所有的負面狀態。
343_t,為你以及所有相鄰的盟友施加<nobr>流血<sprite name=Wound></nobr>以附加<nobr>強推<sprite name=Push>2，</nobr><nobr>禁足<sprite name=Immobilize>。</nobr>
345_b,本回合，為你的所有攻擊附加<nobr>+1攻擊力<sprite name=Attack></nobr>，<sprite name=XP1>。
345_t,在接下來五次你受到傷害時，執行一次<nobr>“攻擊<sprite name=Attack> 3”</nobr>行動，即使你的射程範圍內沒有敵人，依然執行此行動。
346_t,免疫你接下來將受到的五次傷害。
347_b,你可以損失至多5點生命值。
347_t,你每對一個敵人造成傷害，執行一次“<nobr>治療<sprite name=Heal>2</nobr>，目標為自己”的行動。
348_t,所有盟友在他們的每個行動輪可以為一次攻擊附加+1攻擊力<sprite name=Attack>。
349_b,本回合，<nobr>射程範圍<sprite name=Range>2以內</nobr>的任意一名盟友免疫一次他接下來將受到的傷害。
350_t,所有盟友為他們的所有移動行動附加<nobr>+1移動力<sprite name=Move></nobr>，並為他們的所有遠距攻擊附加<nobr>+1射程範圍<sprite name=Range></nobr>。
352_b,一名<nobr>射程範圍<sprite name=Range>3以內</nobr>的盟友<nobr>可以執行</nobr>
354_b,強迫所有目的地區域中的敵人執行一次<nobr>“移動<sprite name=Move>1”</nobr>行動，並由你操控它們移動的方向。
357_t,為所有盟友的所有攻擊附加<nobr>流血<sprite name=Wound></nobr>。
358_t,在接下來五次你<nobr>詛咒<sprite name=Curse></nobr>一個敵人時，額外<nobr>詛咒<sprite name=Curse></nobr>一次。
360_t,所有盟友可以在他們行動輪開始時執行一次<nobr>“治療<sprite name=Heal>1，目標為自己”</nobr>。
